legacyId,name,description,mainImage,published,finishLegacyId,finishName,finishImage,price,costPrice,sourceVendor,sourceSku,sourceUrl,sourceProductId,sourcePriceRsd,inStock
europrofil-o04a0006115,ORN N ruč.228/397mm AL SM,Europrofil art. O04A0006115,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6115.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6115.webp,790,0,europrofil,O04A0006115,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228397mm-al-sm-6115,5963,789.85,true
europrofil-o04a0006124,ORN N ruč.228/447mm AL SB,Europrofil art. O04A0006124,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6124.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6124.webp,851,0,europrofil,O04A0006124,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228447mm-al-sb-6124,5964,850.68,true
europrofil-o04a0006116,ORN N ruč.228/447mm AL SM,Europrofil art. O04A0006116,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6116.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6116.webp,875,0,europrofil,O04A0006116,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228447mm-al-sm-6116,5965,874.84,true
europrofil-o04a0006125,ORN N ruč.228/497mm AL SB,Europrofil art. O04A0006125,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6125.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6125.webp,925,0,europrofil,O04A0006125,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228497mm-al-sb-6125,5966,924.83,true
europrofil-o04a0006117,ORN N ruč.228/497mm AL SM,Europrofil art. O04A0006117,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6117.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6117.webp,823,0,europrofil,O04A0006117,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228497mm-al-sm-6117,5967,823.18,true
europrofil-o04a0006126,ORN N ruč.228/547mm AL SB,Europrofil art. O04A0006126,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6126.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6126.webp,988,0,europrofil,O04A0006126,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228547mm-al-sb-6126,5968,988.14,true
europrofil-o04a0006118,ORN N ruč.228/547mm AL SM,Europrofil art. O04A0006118,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6118.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6118.webp,892,0,europrofil,O04A0006118,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228547mm-al-sm-6118,5969,891.50,true
europrofil-o04a0006127,ORN N ruč.228/597mm AL SB,Europrofil art. O04A0006127,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6127.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6127.webp,1346,0,europrofil,O04A0006127,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228597mm-al-sb-6127,5970,1346.42,true
europrofil-o04a0006119,ORN N ruč.228/597mm AL SM,Europrofil art. O04A0006119,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6119.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6119.webp,1216,0,europrofil,O04A0006119,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228597mm-al-sm-6119,5971,1216.44,true
europrofil-o04a0006128,ORN N ruč.228/797mm AL SB,Europrofil art. O04A0006128,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6128.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6128.webp,1506,0,europrofil,O04A0006128,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228797mm-al-sb-6128,5972,1506.38,true
europrofil-o04a0006120,ORN N ruč.228/797mm AL SM,Europrofil art. O04A0006120,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6120.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-06/compres/6120.webp,1346,0,europrofil,O04A0006120,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D228797mm-al-sm-6120,5973,1346.42,true
europrofil-o04c0006168,ORN N 96 ruč.7834-L bela,Europrofil art. O04C0006168,https://www.europrofil.rs/upload/compres/1652867904.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1652867904.webp,167,0,europrofil,O04C0006168,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8D7834-l-bela-6168,19736,166.98,false
